序号,题名,作者,来源,发表时间,数据库,被引,下载
412,试论内部控制概念框架的构建,杨清香,会计研究,2010-11-15,期刊,123,3606
413,多种类型公共支出与经济增长,金戈 史晋川,经济研究,2010-07-20,期刊,53,2802
414,经济波动、财税体制变迁与土地资源资本化——对中国改革开放以来“三次圈地”相关问题的实证分析,杨帅 温铁军,管理世界,2010-04-15,期刊,126,4098
415,XBRL分类标准认证的理论基础和方法学体系研究,杨周南 朱建国 刘锋 孙凡 赵英吉,会计研究,2010-11-15,期刊,60,2476
416,收入与幸福指数结构方程模型构建——以浙江省小城镇为例,吴丽民 陈惠雄,中国农村经济,2010-11-30,期刊,50,3568
417,论工资性收入占国民收入比例的演变,龚刚 杨光,管理世界,2010-05-15,期刊,105,2318
418,金融发展、FDI与中国地区的制造业出口,黄玖立 冼国明,管理世界,2010-07-15,期刊,89,3616
419,中国IPO高抑价之谜:“定价效率观”还是“租金分配观”?,朱红军 钱友文,管理世界,2010-06-15,期刊,88,3385
420,进口贸易与工业行业全要素生产率,高凌云 王洛林,经济学(季刊),2010-01-15,期刊,82,2164
421,上市公司为什么自愿披露内部控制鉴证报告?——基于信号传递理论的实证研究,林斌 饶静,会计研究,2009-02-15,期刊,871,11254
422,基于县域单元的江苏省经济空间格局演化,靳诚 陆玉麒,地理学报,2009-06-15,期刊,304,3619
423,股权结构、公司治理对股权代理成本的影响——基于中国上市公司2001～2006年数据的研究,李明辉,金融研究,2009-02-25,期刊,227,6089
424,我国上市公司投资:过度还是不足?——基于沪深工业类上市公司非效率投资的实证度量,张功富 宋献中,会计研究,2009-05-15,期刊,424,6628
425,关于公允价值会计的研究——面向财务会计的本质特征,葛家澍,会计研究,2009-05-15,期刊,314,11035
426,2007年沪市公司内部控制自我评价研究——数据分析与政策建议,杨有红 陈凌云,会计研究,2009-06-15,期刊,605,6643
427,分割市场的经济增长——为什么经济开放可能加剧地方保护?,陆铭 陈钊,经济研究,2009-03-20,期刊,386,7412
428,政治关系、社会资本与政策资源获取:来自中国民营上市公司的经验证据,罗党论 唐清泉,世界经济,2009-07-10,期刊,335,4722
429,全球失衡、金融危机与中国经济的复苏,中国经济增长与宏观稳定课题组 张晓晶 汤铎铎 林跃勤,经济研究,2009-05-20,期刊,126,5962
430,资本结构、行业竞争与外部治理环境,李科 徐龙炳,经济研究,2009-06-20,期刊,145,6426
431,中国银行业前沿效率及其影响因素研究——基于随机前沿的距离函数模型,张健华 王鹏,金融研究,2009-12-25,期刊,102,2079
432,中国经济增长中的产业结构变迁和技术进步,刘伟 张辉,经济研究,2008-11-20,期刊,669,14695
433,企业网络能力结构的测评及其对企业创新绩效的影响机制研究,任胜钢,南开管理评论,2010-02-08,期刊,156,3630
434,基于家庭收入分布的地区基尼系数的测算及其城乡分解,段景辉 陈建宝,世界经济,2010-01-10,期刊,69,3485
435,全面社会责任管理:新的企业管理模式,李伟阳 肖红军,中国工业经济,2010-01-17,期刊,112,6718
436,网络嵌入影响企业创新绩效的概念模型与实证分析,张方华,中国工业经济,2010-04-17,期刊,99,2757
437,中国二氧化碳排放的区域差异和影响因素研究,李国志 李宗植,中国人口.资源与环境,2010-05-15,期刊,249,3448
438,通货膨胀惯性、产出波动与货币政策冲击:基于刚性价格模型的通货膨胀和产出的动态分析,王君斌,世界经济,2010-03-10,期刊,79,2454
439,中国入境旅游流网络省级旅游地角色研究,刘法建 张捷 章锦河 陈冬冬,地理研究,2010-06-15,期刊,89,1669
440,中国上市公司市值管理研究,张济建 苗晴,会计研究,2010-04-15,期刊,105,4926
441,资源环境领域脱钩分析研究进展,钟太洋 黄贤金 韩立 王柏源,自然资源学报,2010-08-15,期刊,118,1594
442,组织支持与组织公民行为的机理研究,宗文 李晏墅 陈涛,中国工业经济,2010-07-17,期刊,64,3016
443,社会资本、法律保护与IPO盈余管理,潘越 吴超鹏 史晓康,会计研究,2010-05-15,期刊,97,4603
444,货币政策、股票资产价格与经济增长,周晖,金融研究,2010-02-25,期刊,116,4760
445,预期损失模型缺陷与会计监管独立性问题研究——基于对IASB《金融工具:摊余成本和减值》征求意见稿的分析,郑伟,会计研究,2010-05-15,期刊,83,2125
446,公司治理与企业社会责任:同源、分流与融合,高汉祥 郑济孝,会计研究,2010-06-15,期刊,101,4436
447,银行信贷与资产价格的顺周期关系研究,王晓明,金融研究,2010-03-25,期刊,108,2917
448,企业会计准则实施的经济效果——基于上市公司2009年年度财务报告的分析,刘玉廷 王鹏 薛杰,会计研究,2010-06-15,期刊,65,3739
449,股票市场资产收益的跳跃行为研究,陈浪南 孙坚强,经济研究,2010-04-20,期刊,63,3166
450,从流动性过剩(不足)到结构性通胀(通缩),李斌,金融研究,2010-04-25,期刊,80,2647
451,政府教育投入、人力资本投资与中国城乡收入差距,陈斌开 张鹏飞 杨汝岱,管理世界,2010-01-15,期刊,249,8015
452,民营企业家社会关系资本对研发投资决策影响的实证研究,陈爽英 井润田 龙小宁 邵云飞,管理世界,2010-01-15,期刊,186,6109
453,控制权转移、超控制权与大股东利益侵占——来自上市公司高管变更的经验证据,石水平,金融研究,2010-04-25,期刊,72,3515
454,公司治理理论的最新进展:一个新的分析框架,陈仕华 郑文全,管理世界,2010-02-15,期刊,116,7922
455,中国百货商店如何进行服务创新——基于北京当代商城的案例研究,李飞 陈浩 曹鸿星 马宝龙,管理世界,2010-02-15,期刊,89,7016
456,地方环境支出的实证研究,张征宇 朱平芳,经济研究,2010-05-20,期刊,55,3239
457,宏观环境会计核算体系框架构想,杨世忠 曹梅梅,会计研究,2010-08-15,期刊,71,3305
458,排放权及其交易会计模式研究,王虎超 夏文贤,会计研究,2010-08-15,期刊,82,1522
459,我国政府会计改革重大理论问题研究,张琦 王森林 李琳娜,会计研究,2010-08-15,期刊,66,5059
460,决定中国企业海外收购成败的因素分析,张建红 卫新江 海柯·艾伯斯,管理世界,2010-03-15,期刊,124,4987
461,基于生态位的农村居民点用地适宜性评价与分区调控,曲衍波 张凤荣 姜广辉 关小克 郭力娜,农业工程学报,2010-11-30,期刊,127,1624
462,法律环境差异和区域金融发展——金融发展决定因素基于我国省级面板数据的考察,郑志刚 邓贺斐,管理世界,2010-06-15,期刊,83,2921
463,地区投资者保护、企业性质与异地并购的协同效应,唐建新 陈冬,管理世界,2010-08-15,期刊,70,3925
464,投资者有限关注与限售股解禁,贾春新 赵宇 孙萌 汪博,金融研究,2010-11-25,期刊,57,1493
465,小农户真的更加具有效率吗?来自湖北省的经验证据,李谷成 冯中朝 范丽霞,经济学(季刊),2009-10-15,期刊,96,2159
466,土地利用/土地覆被变化(LUCC)模型研究进展,唐华俊 吴文斌 杨鹏 陈佑启 Peter H.Verburg,地理学报,2009-04-15,期刊,246,6573
467,政府规模、市场化与地区腐败问题研究,周黎安 陶婧,经济研究,2009-01-20,期刊,291,9990
468,演化博弈与演化经济学,黄凯南,经济研究,2009-02-20,期刊,210,7520
469,基于经济模拟的中国能源消费与碳排放高峰预测,朱永彬 王铮 庞丽 王丽娟 邹秀萍,地理学报,2009-08-15,期刊,232,3900
470,大股东控制下的定向增发和财富转移——来自中国上市公司的经验证据,张鸣 郭思永,会计研究,2009-05-15,期刊,275,5623
471,环境规制影响了污染密集型商品的贸易比较优势吗?,陆旸,经济研究,2009-04-20,期刊,187,5000
472,所得税改革、盈余管理及其经济后果,王跃堂 王亮亮 贡彩萍,经济研究,2009-03-20,期刊,218,6866
473,中国汇率传递效应的实证分析,王晋斌 李南,经济研究,2009-04-20,期刊,190,5234
474,金融生态环境、产权性质与负债的治理效应,谢德仁 陈运森,经济研究,2009-05-20,期刊,184,4654
475,我国高技术产业技术创新效率的测度,官建成 陈凯华,数量经济技术经济研究,2009-10-05,期刊,235,3102
476,人民币汇率变动的不完全传递研究:理论及实证,倪克勤 曹伟,金融研究,2009-06-25,期刊,157,3658
477,金融危机背景下的公允价值会计问题研究,于永生,会计研究,2009-09-15,期刊,189,5536
478,产品市场竞争、公司治理与代理成本,姜付秀 黄磊 张敏,世界经济,2009-10-10,期刊,165,4009
479,经济地理与地区间工资差异,范剑勇 张雁,经济研究,2009-08-20,期刊,132,4293
480,基于效率观和掏空观的关联交易与盈余质量关系研究,郑国坚,会计研究,2009-10-15,期刊,140,4157
481,审计师声誉影响股票定价吗——来自IPO定价市场化的证据,王兵 辛清泉 杨德明,会计研究,2009-11-15,期刊,138,3394
482,我国货币政策对通货膨胀与产出的非对称反应,欧阳志刚 王世杰,经济研究,2009-09-20,期刊,100,5010
483,环境约束下的中国工业增长模式研究,涂正革 肖耿,世界经济,2009-11-10,期刊,160,2295
484,企业社会责任、社会资本与组织竞争优势:一个战略互动视角——基于中国转型期经验的实证研究,石军伟 胡立君 付海艳,中国工业经济,2009-11-17,期刊,129,4706
485,组织创新气氛与激励偏好对员工创新行为的交互效应研究,刘云 石金涛,管理世界,2009-10-15,期刊,165,4527
486,权益成本、债务成本与公司治理:影响差异性研究,蒋琰,管理世界,2009-11-15,期刊,192,5222
487,我国居民通货膨胀预期的性质及对通货膨胀的影响,张蓓,金融研究,2009-09-25,期刊,122,3886
488,我国商业银行对资本约束的敏感性研究——基于对中小企业信贷行为的实证分析,黄宪 吴克保,金融研究,2009-11-25,期刊,102,2959
489,银行业结构与经济增长,林毅夫 孙希芳,经济研究,2008-09-20,期刊,461,9680
490,中国货币政策的二元传导机制——“两中介目标,两调控对象”模式研究,盛松成 吴培新,经济研究,2008-10-20,期刊,372,5896
491,中国全要素生产率的空间差异及其成因分析,陶长琪 齐亚伟,数量经济技术经济研究,2010-01-05,期刊,98,2855
492,轨道交通对住宅价格和土地开发强度的影响——以北京市13号线为例,谷一桢 郑思齐,地理学报,2010-02-15,期刊,89,2960
493,企业网络位置、间接联系与创新绩效,钱锡红 徐万里 杨永福,中国工业经济,2010-02-17,期刊,100,3047
494,中国出口贸易中的CO_2排放问题研究,朱启荣,中国工业经济,2010-01-17,期刊,142,2058
495,公允价值计量的逻辑基础和价值基础,支晓强 童盼,会计研究,2010-01-15,期刊,98,5208
496,国外环境财务会计发展评述,周志方 肖序,会计研究,2010-01-15,期刊,96,4823
497,大股东控制、多元化经营与现金持有价值,袁淳 刘思淼 陈玥,中国工业经济,2010-04-17,期刊,98,2752
498,不同类型绩效考核对员工考核反应的差异性影响——考核目的视角下的研究,文鹏 廖建桥,南开管理评论,2010-04-08,期刊,135,6194
499,地方政府卫生支出效率核算及影响因素实证研究——以中国31个省份面板数据为依据的DEA-Tobit分析,韩华为 苗艳青,财经研究,2010-05-03,期刊,138,4057
500,从微观审慎到宏观审慎:危机下的银行监管启示,巴曙松 王璟怡 杜婧,国际金融研究,2010-05-12,期刊,216,4007
501,欧洲债务问题:演进、影响、原因与启示,郑联盛,国际经济评论,2010-05-27,期刊,102,4089
502,基于小波降噪方法和季度数据的中国产出缺口估计,杨天宇 黄淑芬,经济研究,2010-01-20,期刊,77,2270
503,难以抑制的控股股东行为:理论解释与案例分析,贺建刚 孙铮 李增泉,会计研究,2010-03-15,期刊,94,3753
504,中国经济非均衡增长和国民收入分配失衡,周明海 肖文 姚先国,中国工业经济,2010-06-17,期刊,78,1842
505,新企业创业导向与创新绩效关系研究:积极型市场导向的中介作用,李雪灵 姚一玮 王利军,中国工业经济,2010-06-17,期刊,74,2622
506,中国出口的收入和价格弹性,姚枝仲 田丰 苏庆义,世界经济,2010-04-10,期刊,64,1415
507,出口退税的政策效果评估:来自中国纺织品对美出口的经验证据,王孝松 李坤望 包群 谢申祥,世界经济,2010-04-10,期刊,65,2395
508,新兴经济体的界定及其在世界经济格局中的地位,张宇燕 田丰,国际经济评论,2010-07-27,期刊,87,2928
509,房地产价格波动的宏观经济及部门经济影响——基于可计算一般均衡模型的定量分析,原鹏飞 魏巍贤,数量经济技术经济研究,2010-05-05,期刊,61,2607
510,我国城市群总体发展趋势与方向初探,姚士谋 李青 武清华 陈振光 张落成,地理研究,2010-08-15,期刊,74,2325
511,村镇银行发展的制度约束及优化设计,王修华 贺小金 何婧,农业经济问题,2010-08-23,期刊,137,2737
512,组织学习、战略柔性对企业绩效影响的实证研究,王铁男 陈涛 贾榕霞,管理科学学报,2010-07-15,期刊,92,3816
513,资本回报率对投资率的影响:中美日对比研究,孙文凯 肖耿 杨秀科,世界经济,2010-06-10,期刊,68,1607
514,2020年中国粮食需求结构分析及预测——基于营养标准的视角,胡小平 郭晓慧,中国农村经济,2010-06-30,期刊,88,1739
515,地方政府投资行为对经济长期增长的影响——来自中国经济转型的证据,张卫国 任燕燕 侯永建,中国工业经济,2010-08-17,期刊,62,2293
516,2008年中国农村土地使用权调查研究——17省份调查结果及政策建议,叶剑平 丰雷 蒋妍 罗伊·普罗斯特曼 朱可亮,管理世界,2010-01-15,期刊,167,4027
517,制造业物流外包与生产率的关系研究,刘秉镰 林坦,中国工业经济,2010-09-17,期刊,51,3038
518,理论在案例研究中的作用——中国企业管理案例论坛(2009)综述与范文分析,毛基业 李晓燕,管理世界,2010-02-15,期刊,144,7657
519,金融网络视角下的宏观审慎管理——基于银行间支付结算数据的实证分析,黄聪 贾彦东,金融研究,2010-04-25,期刊,89,2488
520,中国未观测信贷规模的变化:1978～2008年,李建军,金融研究,2010-04-25,期刊,130,2477
521,劳动力输出大省农民工返乡创业意愿影响因素的实证分析——基于江西省1145个返乡农民工的调查数据,朱红根 康兰媛 翁贞林 刘小春,中国农村观察,2010-09-20,期刊,97,2673
522,CEO过度自信、董事会结构与公司业绩的实证研究,饶育蕾 王建新,管理科学,2010-10-20,期刊,113,2814
523,内部审计水平与财务报告质量研究——来自中国上市公司的经验证据,王守海 郑伟 张彦国,审计研究,2010-09-28,期刊,86,3956
524,农地流转、禀赋依赖与农村劳动力转移,游和远 吴次芳,管理世界,2010-03-15,期刊,119,5938
525,要素价格与中国制造业技术效率,叶振宇 叶素云,中国工业经济,2010-11-17,期刊,53,1432
526,企业的异质性社会资本及其嵌入风险——基于中国经济转型情境的实证研究,石军伟 付海艳,中国工业经济,2010-11-17,期刊,57,1530
527,交互预算:应对战略不确定性、契合管理控制的新机制——基于天津一汽丰田公司的案例研究,高晨 汤谷良,会计研究,2010-09-15,期刊,54,2664
528,我国区域经济发展潜力的时空差异研究,吕萍 李忠富,数量经济技术经济研究,2010-11-05,期刊,44,1882
529,人口红利、空间外溢与省域经济增长,钟水映 李魁,管理世界,2010-04-15,期刊,84,4553
530,考虑公平关切的供应链契约与协调,杜少甫 杜婵 梁樑 刘天卓,管理科学学报,2010-11-15,期刊,170,2623
531,流动性冲击、货币政策失误与金融危机——对美国金融危机的反思,昌忠泽,金融研究,2010-07-25,期刊,50,3600
532,网络效应、转移成本和竞争性价格歧视,蒋传海,经济研究,2010-09-20,期刊,39,2955
533,家庭欲望、脆弱性与收入-消费关系研究,何平 高杰 张锐,经济研究,2010-10-20,期刊,37,2977
534,政府层级改革的影响因素及其经济绩效研究,才国伟 黄亮雄,管理世界,2010-08-15,期刊,79,2768
535,机构投资者与个人投资者羊群行为的差异,李志文 余佩琨 杨靖,金融研究,2010-11-25,期刊,52,3050
536,地区腐败、市场化与中国经济增长,吴一平 芮萌,管理世界,2010-11-15,期刊,79,3451
537,价值选择VS.价值创造——来自中国市场机构投资者的证据,唐跃军 宋渊洋,经济学(季刊),2010-01-15,期刊,75,1685
538,中国省际工业全要素R&D效率和影响因素:1999—2007,张海洋,经济学(季刊),2010-04-30,期刊,60,1763
539,国企锦标赛激励效应与制约因素研究,周权雄 朱卫平,经济学(季刊),2010-01-15,期刊,83,1588
540,我国财政支出结构演进及其效率,李永友,经济学(季刊),2009-10-15,期刊,71,4748
541,产权代理分析下的土地流转模式及经济绩效,董国礼 李里 任纪萍,社会学研究,2009-01-20,期刊,143,5940
542,上市银行内部控制实质性漏洞披露现状研究——基于民生银行的案例分析,瞿旭 李明 杨丹 叶建明,会计研究,2009-04-15,期刊,207,8120
543,通胀预期、流动性过剩与中国通货膨胀的动态性质,杨继生,经济研究,2009-01-20,期刊,247,6828
544,家族权威与企业价值:基于家族上市公司的实证研究,贺小刚 连燕玲,经济研究,2009-04-20,期刊,178,4782
545,董事会特征与财务舞弊——来自中国上市公司的经验证据,杨清香 俞麟 陈娜,会计研究,2009-07-15,期刊,255,6520
546,上市公司信息披露政策对分析师预测的多重影响研究,白晓宇,金融研究,2009-04-25,期刊,159,4147
547,资产价格波动对中国货币政策的影响——基于1994—2006年季度数据的实证分析,赵进文 高辉,中国社会科学,2009-03-10,期刊,167,3972
548,中国二氧化碳的环境库兹涅茨曲线预测及影响因素分析,林伯强 蒋竺均,管理世界,2009-04-15,期刊,841,10498
549,中国农业全要素生产率增长的实证分析:1978～2007年——基于随机前沿分析(SFA)方法,全炯振,中国农村经济,2009-09-30,期刊,204,4173
550,中国上市公司营运资金管理调查:2007—2008,王竹泉 刘文静 王兴河 张欣怡 杨丽霏,会计研究,2009-09-15,期刊,147,4060
551,新经济地理学视角下的生产性服务业集聚及其影响因素研究——来自中国222个城市的经验证据,陈建军 陈国亮 黄洁,管理世界,2009-04-15,期刊,355,7918
552,中国能源消费碳排放变化的因素分解及实证分析,朱勤 彭希哲 陆志明 吴开亚,资源科学,2009-12-15,期刊,496,5792
553,城乡收入差距变动及其对经济效率的影响,田新民 王少国 杨永恒,经济研究,2009-07-20,期刊,116,5498
554,银根紧缩、信贷歧视与民营上市公司投资者利益损失,陆正飞 祝继高 樊铮,金融研究,2009-07-18,期刊,219,3009
555,内部控制能力评价的IC-CMM模型研究,王海林,会计研究,2009-10-15,期刊,176,3477
556,政治关系、进入壁垒与企业绩效——来自中国民营上市公司的经验证据,罗党论 刘晓龙,管理世界,2009-05-15,期刊,548,7126
557,政治关联、审计师选择与公司价值,雷光勇 李书锋 王秀娟,管理世界,2009-07-15,期刊,263,5654
558,应用随机前沿模型评测中国区域研发创新效率,白俊红 江可申 李婧,管理世界,2009-10-15,期刊,205,3523
559,民营控制、政治关系与企业融资约束——基于中国民营上市公司的经验证据,罗党论 甄丽明,金融研究,2008-12-25,期刊,544,6498
560,中国上市公司资本结构的影响因素和股权融资偏好,肖泽忠 邹宏,经济研究,2008-06-20,期刊,366,12287
561,中国新凯恩斯菲利普斯曲线研究,陈彦斌,经济研究,2008-12-20,期刊,223,5153
562,能源价格对宏观经济的影响——基于可计算一般均衡(CGE)的分析,林伯强 牟敦国,经济研究,2008-11-20,期刊,264,7168
563,城市化与农民工的贡献——后危机时期中国经济增长潜力的思考,蔡昉,中国人口科学,2010-02-01,期刊,150,5295
564,CSR对企业声誉及顾客忠诚影响的实证研究,李海芹 张子刚,南开管理评论,2010-02-08,期刊,161,4226
565,组织支持感对员工工作行为的影响:心理资本中介作用的实证研究,田喜洲 谢晋宇,南开管理评论,2010-02-08,期刊,245,7018
566,农民土地流转意愿及解释——基于十省份千户农民调查数据的实证分析,乐章,农业经济问题,2010-02-23,期刊,177,5894
567,美联储量化宽松货币政策的退出及其对中国的影响,谭小芬,国际金融研究,2010-02-12,期刊,116,4024
568,基于企业生命周期理论的现金股利分配实证研究,宋福铁 屈文洲,中国工业经济,2010-02-17,期刊,95,3408
569,股票期权激励契约合理性及其约束性因素——基于中国上市公司的实证分析,徐宁 徐向艺,中国工业经济,2010-02-17,期刊,100,3305
570,低碳经济:中国实现绿色发展的根本途径,冯之浚 周荣,中国人口·资源与环境,2010-04-15,期刊,137,3673
571,碳税政策的减排效果及其对我国经济的影响分析,朱永彬 刘晓 王铮,中国软科学,2010-04-28,期刊,205,4888
572,农民创业行为影响因素分析——以浙江杭州为例,朱明芬,中国农村经济,2010-03-30,期刊,102,2544
573,我国FDI区位选择中的“第三方效应”——基于空间面板数据的实证研究,杨海生 聂海峰 徐现祥,数量经济技术经济研究,2010-04-05,期刊,66,2221
574,上市公司法律风险、审计收费及非标准审计意见——来自中国上市公司的经验证据,冯延超 梁莱歆,审计研究,2010-05-28,期刊,149,3442
575,财产性收入差距、市场化程度与经济增长的关系——基于城乡间的比较分析,刘江会 唐东波,数量经济技术经济研究,2010-04-05,期刊,69,2650
576,基于GIS的农村居民点区位评价与空间格局优化,朱雪欣 王红梅 袁秀杰 侯欣欣,农业工程学报,2010-06-30,期刊,138,2064
577,中国粮食价格波动分析:基于ARCH类模型,罗万纯 刘锐,中国农村经济,2010-04-30,期刊,111,3178
578,劳动力流动、工业化进程与区域经济增长——基于非参数可加模型的实证研究,潘越 杜小敏,数量经济技术经济研究,2010-05-05,期刊,59,2277
579,城镇居民的平均消费倾向为何持续下降——基于消费习惯形成的实证分析,杭斌,数量经济技术经济研究,2010-06-05,期刊,70,1621
580,财政分权、地方政府竞争与土地财政,吴群 李永乐,财贸经济,2010-07-10,期刊,230,7266
581,旅游地社区参与度熵权层次分析评价模型与应用,侯国林 黄震方,地理研究,2010-10-15,期刊,52,1925
582,返乡农民工创业行为与创业意愿分析,石智雷 谭宇 吴海涛,中国农村观察,2010-09-20,期刊,76,2828
583,中国货币政策产业非对称效应实证研究,曹永琴,数量经济技术经济研究,2010-09-05,期刊,64,1220
584,非利息收入有利于降低银行风险吗?——基于中国银行业的数据,张羽 李黎,南开经济研究,2010-08-22,期刊,181,2499
585,智慧城市理念与未来城市发展,巫细波 杨再高,城市发展研究,2010-11-26,期刊,253,11973
586,多元化经营与企业经营业绩——基于代理问题的分析,张纯 高吟,会计研究,2010-09-15,期刊,88,2983
587,中国服务业与经济增长:一般均衡模型及其经验研究,程大中,世界经济,2010-10-10,期刊,41,2401
588,“次优”债务契约的治理绩效研究,田侃 李泽广 陈宇峰,经济研究,2010-08-20,期刊,40,2226
589,增值税“扩围”改革与中央和地方财政体制调整,施文泼 贾康,财贸经济,2010-11-10,期刊,270,4756
590,与高层领导的关系对经理人“谏言”的影响机制——来自本土家族企业的经验证据,汪林 储小平 黄嘉欣 陈戈,管理世界,2010-05-15,期刊,82,3162
591,知识溢出、自主创新能力与外商直接投资,陈继勇 雷欣 黄开琢,管理世界,2010-07-15,期刊,63,5143
592,中国汽车市场弱势后入者的经营战略——基于对吉利、奇瑞、华晨、比亚迪和哈飞等华系汽车的案例分析,田志龙 李春荣 蒋倩 王浩 刘林 朱力 朱守拓,管理世界,2010-08-15,期刊,59,6874
593,集团化、银行贷款与资金配置效率,潘红波 余明桂,金融研究,2010-10-25,期刊,42,2319
594,自然资源丰裕、资源产业依赖与中国区域经济增长,邵帅 杨莉莉,管理世界,2010-09-15,期刊,62,2921
595,制衡股东性质与制衡效果——来自中国民营化上市公司的经验证据,涂国前 刘峰,管理世界,2010-11-15,期刊,61,2126
596,中国背景下组织认同的结构——一项探索性研究,孙健敏 姜铠丰,社会学研究,2009-01-20,期刊,128,5348
597,危机挑战政府——全球金融危机中的政府救市措施批判,朱民 边卫红,国际金融研究,2009-02-12,期刊,123,4803
598,政治关联能改善民营企业的经营绩效吗,邓建平 曾勇,中国工业经济,2009-02-17,期刊,496,5165
599,知识溢出:一个文献综述,赵勇 白永秀,经济研究,2009-01-20,期刊,180,8845
600,产业周期、并购类型与并购绩效的实证研究,刘笑萍 黄晓薇 郭红玉,金融研究,2009-03-25,期刊,167,5999
601,非正规金融与农户借贷行为,金烨 李宏彬,金融研究,2009-04-25,期刊,173,2881
602,外资特征对中国经济增长的影响,郭熙保 罗知,经济研究,2009-05-20,期刊,115,4786
603,中国企业全要素生产率水平研究,袁堂军,经济研究,2009-06-20,期刊,111,4068
604,股权分置改革的盈余质量效应,申慧慧 黄张凯 吴联生,会计研究,2009-08-15,期刊,122,4032
605,中国上市公司年报重述公告效应研究,魏志华 李常青 王毅辉,会计研究,2009-08-15,期刊,155,2784
606,进口贸易、吸收能力与国际R&D技术溢出:中国省区面板数据的研究,谢建国 周露昭,世界经济,2009-09-10,期刊,148,3055
607,金融危机引发的对公允价值与历史成本的思考,周明春 刘西红,会计研究,2009-09-15,期刊,140,5066
608,中国保险机构资金运用效率研究:基于资源型两阶段DEA模型,黄薇,经济研究,2009-08-20,期刊,98,3537
609,公允价值会计和金融稳定研究——金融危机分析视角,王守海 孙文刚 李云,会计研究,2009-10-15,期刊,107,3887
610,劳动收入占比下降的经济学解释——基于中国省级面板数据的分析,罗长远 张军,管理世界,2009-05-15,期刊,360,4764
611,论土地发展权转移与交易的“浙江模式”——制度起源、操作模式及其重要含义,汪晖 陶然,管理世界,2009-08-15,期刊,169,4024
612,商业地价形成机制、房地产泡沫及其治理,刘民权 孙波,金融研究,2009-10-25,期刊,85,4464
613,中国民营上市公司高管的政府背景与公司价值,吴文锋 吴冲锋 刘晓薇,经济研究,2008-07-20,期刊,851,8011
614,自主研发、技术引进与生产率——基于中国地区工业的实证研究,吴延兵,经济研究,2008-08-20,期刊,382,5509
615,我国DSGE模型的开发及在货币政策分析中的应用,刘斌,金融研究,2008-09-18,期刊,304,6277
616,政治关系、制度环境与民营企业银行贷款,余明桂 潘红波,管理世界,2008-08-15,期刊,1237,10116
617,人民币国际化：计量研究及政策分析,李稻葵 刘霖林,金融研究,2008-11-25,期刊,303,10258
618,中国研究的可能立场与范式重构,周晓虹,社会学研究,2010-03-20,期刊,43,3521
619,基于城市创新职能的中国创新城市空间体系,吕拉昌 李勇,地理学报,2010-02-15,期刊,70,2522
620,国有企业改制政策效果的实证分析——基于双重差分模型的估计,李楠 乔榛,数量经济技术经济研究,2010-02-05,期刊,69,3907
621,关系资本、组织学习与研发联盟绩效关系的实证研究,薛卫 雷家骕 易难,中国工业经济,2010-04-17,期刊,78,2348
622,增值税转型对上市公司财务影响程度研究,王素荣 蒋高乐,会计研究,2010-02-15,期刊,81,4402
623,城镇化是扩大内需实现经济可持续发展的引擎,辜胜阻 李华 易善策,中国人口科学,2010-06-01,期刊,119,3165
624,中国货币需求长期是否稳定?,万晓莉 霍德明 陈斌开,经济研究,2010-01-20,期刊,50,3693
625,避税动因的盈余管理方式比较——基于应计项目操控和真实活动操控的研究,李增福 郑友环,财经研究,2010-06-03,期刊,151,2653
626,导入EVA考核中央企业的公平性及其改进,卢闯 杜菲 佟岩 汤谷良,中国工业经济,2010-06-17,期刊,65,2151
627,日本新能源产业发展及其与中国的比较,陈伟,中国人口.资源与环境,2010-06-15,期刊,78,4062
628,从价值创造到市值管理:价值管理理论变迁研究评述,翁世淳,会计研究,2010-04-15,期刊,68,3411
629,职场排斥与员工组织公民行为:组织认同与集体主义倾向的作用,吴隆增 刘军 许浚,南开管理评论,2010-06-08,期刊,96,4258
630,上市公司定向增发中的利益输送行为研究,王志强 张玮婷 林丽芳,南开管理评论,2010-06-08,期刊,110,3052
631,投资者情绪与股票收益:总体效应与横截面效应的实证研究,蒋玉梅 王明照,南开管理评论,2010-06-08,期刊,87,3157
632,后危机时代经济全球化趋势及其新特点、新态势,裴长洪,国际经济评论,2010-07-27,期刊,62,5255
633,区域全要素生产率的估算及其对地区差距的贡献,李国璋 周彩云 江金荣,数量经济技术经济研究,2010-05-05,期刊,69,1919
634,国外政府绩效审计评析与我国绩效审计战略,王会金,会计研究,2010-05-15,期刊,69,3934
635,民营企业治理转型、政治联系与公司业绩,李维安 邱艾超,管理科学,2010-08-20,期刊,108,2170
636,中国货币经济波动分析:基于垄断竞争动态一般均衡模型的估计,李春吉 范从来 孟晓宏,世界经济,2010-07-10,期刊,59,1484
637,中国上市公司治理状况评价研究——来自2008年1127家上市公司的数据,南开大学公司治理评价课题组 李维安,管理世界,2010-01-15,期刊,100,8789
638,对《消费者价格指数与生产者价格指数:谁带动谁?》一文的质疑,徐伟康,经济研究,2010-05-20,期刊,50,2514
639,企业内部报告框架构建研究,张先治 刘媛媛,会计研究,2010-08-15,期刊,49,2491
640,我国政府会计准则体系的构建——基于我国政府环境和国际经验借鉴的研究,戚艳霞 张娟 赵建勇,会计研究,2010-08-15,期刊,56,3178
